dimGranularity,dim,dimAgg,from,to,colour,label
0,before1945,all,1850,2150,#D53E4F,All
0,1945-1969,all,1850,2150,#D53E4F,All
0,1970-1979,all,1850,2150,#D53E4F,All
0,1980-1989,all,1850,2150,#D53E4F,All
0,1990-1999,all,1850,2150,#D53E4F,All
0,2000-2010,all,1850,2150,#D53E4F,All
0,2011-2020,all,1850,2150,#D53E4F,All
0,2021-2030,all,1850,2150,#D53E4F,All
0,2031-2040,all,1850,2150,#D53E4F,All
0,2041-2050,all,1850,2150,#D53E4F,All
0,2051-2060,all,1850,2150,#D53E4F,All
0,2061-2070,all,1850,2150,#D53E4F,All
0,2071-2080,all,1850,2150,#D53E4F,All
0,2081-2090,all,1850,2150,#D53E4F,All
0,2091-2100,all,1850,2150,#D53E4F,All
0,after2100,all,1850,2150,#D53E4F,All
1,before1945,before1945,1850,1944,#D53E4F,Before 1945
1,1945-1969,1945-1969,1945,1969,#E65849,1945 - 1969
1,1970-1979,1970-1979,1970,1979,#F57245,1970 - 1979
1,1980-1989,1980-1989,1980,1989,#FA9555,1980 - 1989
1,1990-1999,1990-1999,1990,1999,#FEB567,1990 - 1999
1,2000-2010,2000-2010,2000,2010,#FECF7D,2000 - 2010
1,2011-2020,2011-2020,2011,2020,#FFE695,2011 - 2020
1,2021-2030,2021-2040,2021,2040,#F1F9AA,2021 - 2040
1,2031-2040,2021-2040,2021,2040,#F1F9AA,2021 - 2040
1,2041-2050,2041-2060,2041,2060,#C3E69F,2041 - 2060
1,2051-2060,2041-2060,2041,2060,#C3E69F,2041 - 2060
1,2061-2070,2061-2080,2061,2080,#A2D9A3,2061 - 2080
1,2071-2080,2061-2080,2061,2080,#A2D9A3,2061 - 2080
1,2081-2090,2081-2100,2081,2100,#60B5AB,2081 - 2100
1,2091-2100,2081-2100,2081,2100,#60B5AB,2081 - 2100
1,after2100,after2100,2101,2150,#3288BD,After 2100
