vin,from,to,colour,label
before1945,1850,1944,"#D53E4F",Before 1945
1945-1969,1945,1969,"#E65849",1945 - 1969
1970-1979,1970,1979,"#F57245",1970 - 1979
1980-1989,1980,1989,"#FA9555",1980 - 1989
1990-1999,1990,1999,"#FEB567",1990 - 1999
2000-2010,2000,2010,"#FECF7D",2000 - 2010
2011-2020,2011,2020,"#FFE695",2011 - 2020
2021-2030,2021,2030,"#FFF7B1",2021 - 2030
2031-2040,2031,2040,"#F8FCB5",2031 - 2040
2041-2050,2041,2050,"#EBF7A0",2041 - 2050
2051-2060,2051,2060,"#D3ED9C",2051 - 2060
2061-2070,2061,2070,"#B3E0A3",2061 - 2070
2071-2080,2071,2080,"#91D2A5",2071 - 2080
2081-2090,2081,2090,"#6BC4A5",2081 - 2090
2091-2100,2091,2100,"#55A6B1",2091 - 2100
after2100,2101,2150,"#3288BD",After 2100
*recreate colour scale: gradient_n_pal(brewer_pal("div", "Spectral")(9))(seq(0, 1, length.out = 16))
